"AcceptingNewPatients","Accessibility","AccountID","AccountName","ActiveMHDesignation","ActiveRSSOLicense","ActiveSUDLicense","AddressOneLine","CommunityMentalHealthCenter","CommunityMentalHealthClinic","DUIDWI","DisplayName","Fees","HideAddress","HoursofOperationFriday","HoursofOperationMonday","HoursofOperationSaturday","HoursofOperationSunday","HoursofOperationThursday","HoursofOperationTuesday","HoursofOperationWednesday","LanguagesSpoken","MentalHealthSettings","OffersTelehealth","OpioidTreatmentPrograms","Phone","PopulationServed","ProviderDirectoryFormModifiedDate","ProviderLocationDisplayLabel","RSSOServicesProvided","SubstanceUseServices","TelehealthRestrictions","Website","lat","lon"
"","","0014M00001nPho6QAC","Rocky Mountain Detox -1348 Pierce","0","0","1","1348 Pierce Street, Lakewood, CO 80214","0","0","0","Rocky Mountain Detox - Lakewood (1348 Pierce St)","","0","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","","","","0","(480) 371-0180","","7/19/2022 8:34 AM","1348 Pierce Street_BR_ENCODED_Lakewood, CO 80214","","General Treatment; Clinically Managed High Intensity Residential Services; Medically Monitored Intensive Residential Treatment; Medically Monitored Inpatient Detoxification","","https://rockymountaindetox.com/","39.7376235","-105.0715172"
"","Deaf/Hard of Hearing; Visually Impaired","0014M00002KjKMPQA3","Real Talk Counseling From An Urban Perspective","0","0","1","56770 E Colfax Ave, Strasburg, Colorado 80136","0","0","1","Real Talk Counseling From An Urban Perspective","Medicaid; Private Insurance; Self Pay; Sliding Fee Scale","0","10:00AM - 7:00PM","10:00AM - 7:00PM","12:00PM - 6:00PM","","10:00AM - 7:00PM","10:00AM - 7:00PM","10:00AM - 7:00PM","English; Spanish; French","","","0","3033770370","Homeless; Men; Military; Older Adults; Offender; Clients referred from Court/Judicial System; American Indian; Latinx","10/31/2022 9:41 AM","56770 E Colfax Ave_BR_ENCODED_Strasburg, Colorado 80136","","","","realtalkurbancounseling.com","39.7380938","-104.3229409"
"","Deaf/Hard of Hearing; Visually Impaired; Wheelchair","0014M00002901h0QAA","Real Talk: Counseling From An Urban Perspective","0","0","1","2323 S Troy St, Ste 5-209, Aurora, Colorado 80014","0","0","1","Real Talk Counseling From An Urban Perspective","Medicaid; Private Insurance; Self Pay; Sliding Fee Scale","0","10:00AM - 7:00PM","10:00AM - 7:00PM","10:00AM - 7:00PM","","10:00AM - 7:00PM","10:00AM - 7:00PM","10:00AM - 7:00PM","English; Spanish; French","","","0","(303) 377-0370","Homeless; Men; Military; Older Adults; Offender; Clients referred from Court/Judicial System; American Indian; Latinx","10/31/2022 9:51 AM","2323 S Troy St, Ste 5-209_BR_ENCODED_Aurora, Colorado 80014","","Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System","","realtalkurbancounseling.com","39.6741","-104.8397635"
"","Wheelchair","0014M00001otrZlQAI","Brain Injury Alliance of Colorado - Colorado Blvd","1","0","0","1325 S. Colorado Blvd, Denver, CO 80222","0","1","0","Brain Injury Alliance of Colorado","Medicaid; Self Pay; Sliding Fee Scale","0","8:00PM - 4:30PM","8:00AM - 4:00PM","","","8:00AM - 4:30PM","8:00AM - 4:30PM","8:00AM - 4:30PM","English","Outpatient; Day Treatment; Community Mental Health Clinic","","0","(720) 737-2327","Homeless; LGBTQIA+; Men; Older Adults; Women; Clients referred from Court/Judicial System; American Indian","5/23/2022 12:58 PM","1325 S. Colorado Blvd_BR_ENCODED_Denver, CO 80222","","","","https://biacolorado.org/","39.6924523","-104.941215"
"","Wheelchair","0014M00001g0OM7QAM","A New Outlook Recovery Services - Canal","1","0","1","1510 W. Canal Ct, Suite 2500, Littleton, CO 80120","0","1","0","A New Outlook Recovery Services","Medicaid; Private Insurance; Self Pay; Sliding Fee Scale","0","8:30AM - 5:00PM","8:30AM - 9:00PM","","","8:30AM - 9:00PM","8:30AM - 5:00PM","8:30AM - 9:00PM","English","Outpatient; Day Treatment; Community Mental Health Clinic","","0","(303) 798-2196","Men; Military; Women; Offender; Clients referred from Court/Judicial System","6/1/2022 12:00 PM","1510 W. Canal Ct, Suite 2500_BR_ENCODED_Littleton, CO 80120","","Outpatient; Intensive Outpatient; General Treatment; Day Treatment (Partial Hospitalization)","","https://coloradorecoveryservices.org/","39.5676965","-105.0071455"
"","Deaf/Hard of Hearing; Visually Impaired; Wheelchair","0016100001etwjaAAA","McKee Medical Center - Boise Ave","1","0","0","2000 Boise Ave, Loveland, Colorado 80538","0","0","0","McKee Medical Center","Medicaid; Private Insurance; Self Pay","0","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","English; Spanish; Cantonese; Mandarin; French; Cambodian; Mongolian; Polish; Russian; Ukrainian; Vietnamese; German","Hospital; Emergency; Outpatient; 72-Hour Treatment & Evaluation","","0","(970) 820-4640","Older Adults","11/28/2022 3:39 PM","2000 Boise Ave_BR_ENCODED_Loveland, Colorado 80538","","","","https://www.bannerhealth.com/locations/loveland/mckee-medical-center/behavioral-health","40.4132365","-105.0513281"
"","Wheelchair","0016100001evZERAA2","Lifelong, Inc. - Jefferson","1","0","1","7175 W. Jefferson Avenue, Suite 4000, Lakewood, Colorado 80235","0","1","1","Lifelong, Inc.","Medicaid; Private Insurance; Self Pay","0","9:00AM - 7:00PM","9:00AM - 7:00PM","","","9:00AM - 7:00PM","9:00AM - 7:00PM","9:00AM - 7:00PM","English; Spanish","Outpatient; Day Treatment; Community Mental Health Clinic","","0","(303) 573-0839","Homeless; LGBTQIA+; Men; Military; Older Adults; Pregnant Person; Women; Youth; Offender; Minors/Adolescents; Clients referred from Court/Judicial System; American Indian","5/23/2022 2:34 PM","7175 W. Jefferson Avenue, Suite 4000_BR_ENCODED_Lakewood, Colorado 80235","","Outpatient; General Treatment; DUI/DWI; Youth Treatment; Gender Responsive Treatment for Women","","www.lifelonginc.com","39.651341","-105.0753665"
"","Wheelchair","0014M00001nPANeQAO","Peer Coach Academy Colorado, Inc - Cascade","0","0","1","411 S. Cascade Ave, Suite 100, Colorado Springs, Colorado 80903","0","0","1","Peer Coach Academy Colorado, Inc","Medicaid; Self Pay; Sliding Fee Scale","0","8:00AM - 8:00PM","8:00AM - 8:00PM","8:00AM - 1:00PM","","8:00AM - 8:00PM","8:00AM - 8:00PM","8:00AM - 8:00PM","Spanish","","","0","(800) 604-8978","HIV; Homeless; LGBTQIA+; Men; Women; Clients referred from Court/Judicial System","6/17/2022 1:22 PM","411 S. Cascade Ave, Suite 100_BR_ENCODED_Colorado Springs, Colorado 80903","","Outpatient; General Treatment; DUI/DWI; Youth Treatment","","www.embarkpca.net","38.8278091","-104.8252837"
"","Wheelchair","0016100001Pj8X9AAJ","All Points North Lodge - Cordillera Way","0","0","1","2203 Cordillera Way, Edwards, CO 81632","0","1","0","All Points North Lodge - Edwards","","0","9:00AM - 5:00PM","9:00AM - 5:00PM","9:00AM - 5:00PM","","9:00AM - 5:00PM","9:00AM - 5:00PM","9:00AM - 5:00PM","","","","0","(720) 341-3186","","7/14/2022 10:48 AM","2203 Cordillera Way_BR_ENCODED_Edwards, CO 81632","","Outpatient; General Treatment","","https://apn.com/","39.6444837","-106.6406404"
"","Wheelchair","0014M0000229QceQAE","All Points North Aurora Assessment Center - Iliff Ave","1","0","1","11951 E Iliff Ave, Aurora, CO 80014","0","1","0","All Points North Aurora Assessment Center","","0","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","","Outpatient; Day Treatment; Community Mental Health Clinic","","0","(804) 240-0844","","7/14/2022 10:49 AM","11951 E Iliff Ave_BR_ENCODED_Aurora, CO 80014","","General Treatment; Medically Monitored Intensive Residential Treatment; Medically Monitored Inpatient Detoxification","","https://apn.com/","39.675136","-104.8489734"
"","Wheelchair","0014M00001mQk6LQAS","All Points North Lodge Residential","1","0","1","2205 Cordillera Way, Edwards, CO 81632","0","1","0","All Points North Lodge Residential","","0","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","","Outpatient; Day Treatment; Community Mental Health Clinic","","0","(970) 648-4400","","7/14/2022 10:49 AM","2205 Cordillera Way_BR_ENCODED_Edwards, CO 81632","","Outpatient; Day Treatment (Partial Hospitalization); Clinically Managed Low Intensity Residential Services; Clinically Managed Residential Detoxification; Clinically Managed Medium Intensity Residential Services; Clinically Managed High Intensity Residential Services","","https://apn.com/","39.6430219","-106.6343342"
"","Visually Impaired; Wheelchair","0014M000026UHkuQAG","Ke'nekt, LLC - Northfield","0","0","1","8354 Northfield Boulevard, Building G, Ste 330, Denver, Colorado 80238","0","0","0","Ke'nekt, LLC","Medicaid; Private Insurance; Self Pay; Sliding Fee Scale","0","6:00AM - 9:00PM","7:00AM - 9:00PM","6:00AM - 9:00PM","","6:00AM - 9:00PM","6:00AM - 9:00PM","6:00AM - 9:00PM","English; Spanish","","","0","(303) 995-7585","HIV; Homeless; LGBTQIA+; Men; Military; Older Adults; Pregnant Person; Women; Offender; Clients referred from Court/Judicial System; American Indian","6/1/2022 7:58 PM","8354 Northfield Boulevard, Building G, Ste 330_BR_ENCODED_Denver, Colorado 80238","","Outpatient; General Treatment","","www.kenekt.life","39.7825364","-104.8914141"
"","Wheelchair","0016100001OEOhgAAH","Dream Catcher Therapy Center, Inc - Hwy 348","1","0","0","5814 Hwy 348, Olathe, Colorado 81425","0","1","0","Dream Catcher Therapy Center, Inc.","Medicaid; Private Insurance; Self Pay; Sliding Fee Scale","0","10:00AM - 3:00PM","10:00AM - 6:00PM","","","10:00AM - 6:00PM","10:00AM - 6:00PM","10:00AM - 6:00PM","English","Outpatient; Day Treatment; Community Mental Health Clinic","","0","(970) 323-5400","LGBTQIA+; Men; Military; Older Adults; Pregnant Person; Women; Youth; Offender; Minors/Adolescents; Clients referred from Court/Judicial System; American Indian","","5814 Hwy 348_BR_ENCODED_Olathe, Colorado 81425","","","","www.dctc.org","38.6081591","-108.0084185"
"","Deaf/Hard of Hearing; Visually Impaired; Wheelchair","0014M000026UHKhQAO","Samaritan Counseling DBA: Centus Counseling, Consulting & Education - Belleview Ave","1","0","0","7887 East Belleview Avenue, Suite 1100, Denver, CO 80111","0","1","0","Centus Counseling","Medicaid; Private Insurance; Self Pay; Sliding Fee Scale","0","8:00AM - 5:00PM","8:00AM - 7:00PM","","","8:00AM - 7:00PM","8:00AM - 7:00PM","8:00AM - 7:00PM","English; Spanish","Outpatient; Day Treatment; Community Mental Health Clinic","","0","(303) 639-5240","HIV; LGBTQIA+; Men; Military; Older Adults; Pregnant Person; Women; Youth; Minors/Adolescents; Clients referred from Court/Judicial System; American Indian","6/3/2022 6:24 AM","7887 East Belleview Avenue, Suite 1100_BR_ENCODED_Denver, CO 80111","","","","www.centus.org","39.6251994","-104.8970022"
"","","0014M000026UBXyQAO","Resolute Youth Services","0","0","1","Please contact this provider directly for location","0","0","0","Resolute Youth Services","Medicaid; Private Insurance; Self Pay","1","9:00AM - 6:00PM","9:00AM - 6:00PM","","","9:00AM - 6:00PM","9:00AM - 6:00PM","9:00AM - 6:00PM","","","","0","(303) 335-6098","Youth; Minors/Adolescents; Clients referred from Court/Judicial System","12/2/2022 2:18 PM","Please contact this provider directly for location","","Outpatient; General Treatment; Youth Treatment","","www.resoluteyouthservices.com","",""
"","","0014M00002FymqlQAB","Daisy Center - Grand Junction","1","0","0","643 27 1/2 Road, Grand Junction, CO 81506","0","0","0","Daisy Center","","0","12:00AM - 12:00PM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","","","","0","9702433304","","1/10/2023 8:54 AM","643 27 1/2 Road_BR_ENCODED_Grand Junction, CO 81506","","","","https://thedaisycenter.com/","39.0980849","-108.5434676"
"","","0014M00002HjPtSQAV","Foundry Treatment Center - Steamboat Springs","0","0","1","30785 Hwy 131, Steamboat Springs, CO 80487","0","0","0","Foundry Treatment Center","","0","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","","","","0","720-388-4368","","7/15/2022 1:41 PM","30785 Hwy 131_BR_ENCODED_Steamboat Springs, CO 80487","","Outpatient; Intensive Outpatient; General Treatment; Day Treatment (Partial Hospitalization); Clinically Managed Residential Detoxification; Clinically Managed High Intensity Residential Services; Medically Monitored Inpatient Detoxification","","https://www.forgingnewlives.com/","40.3680058","-106.848467"
"","","0014M00002G0O3GQAV","Mile High Medical Group - Exposition Ave","0","0","1","6310 E Exposition Ave, Denver, Colorado 80224","0","0","0","Mile High Treatment and Recovery Group","","0","","","","","","","","","","","1","720-261-3938","","12/5/2022 9:42 AM","6310 E Exposition Ave_BR_ENCODED_Denver, Colorado 80224","","","","","39.7035364","-104.9148172"
"","","0014M00002KiwdPQAR","True North Recovery Services","0","0","1","2696 S Colorado Blvd Ste 390, Denver, CO 80222","0","0","0","True North Recovery Services","","0","","","","","","","","","","","0","720-300-3861","","12/2/2022 3:55 PM","2696 S Colorado Blvd Ste 390_BR_ENCODED_Denver, CO 80222","","","","https://www.truenorthrecoveryservices.com/","39.6687124","-104.9395902"
"","Deaf/Hard of Hearing; Visually Impaired","0014M0000291wsuQAA","Forward Counseling - Forest Park Circle","0","0","1","1369 Forest Park Circle, #204, Lafayette, Colorado 80027","0","0","1","Forward Counseling","Self Pay; Sliding Fee Scale","0","9:00AM - 6:00PM","9:00AM - 6:00PM","","","9:00AM - 6:00PM","9:00AM - 6:00PM","9:00AM - 6:00PM","English","","","0","(720) 583-5520","HIV; Homeless; LGBTQIA+; Men; Military; Older Adults; Pregnant Person; Women; Offender","10/4/2022 9:42 AM","1369 Forest Park Circle, #204_BR_ENCODED_Lafayette, Colorado 80027","","Outpatient; General Treatment; DUI/DWI; Level II Four Plus","","www.forwardcounseling.net","40.0135936","-105.1282715"
"","","0016100001J4ORwAAN","Colorado Addictions Consulting - Garrison St","0","0","1","1978 S. Garrison St, Lakewood, CO 80227","0","0","1","Colorado Addictions Consulting, LLC","Self Pay","0","","10:00AM - 9:00PM","","","10:00AM - 9:00PM","10:00AM - 9:00PM","10:00AM - 9:00PM","English","","","0","(720) 379-6590","Clients referred from Court/Judicial System","6/27/2022 11:05 AM","1978 S. Garrison St_BR_ENCODED_Lakewood, CO 80227","","Outpatient; DUI/DWI; Level II Four Plus","","www.cacevals.com","39.6812838","-105.0997213"
"","Deaf/Hard of Hearing; Visually Impaired; Wheelchair","0014M00001vZbGkQAK","Johnstown Heights Behavioral Health- Larimer Parkway","1","0","1","4770 Larimer Parkway, Johnstown, CO 80534","0","0","0","Johnstown Heights Behavioral Health","Medicaid; Private Insurance; Self Pay","0","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","English; Spanish; Cantonese; Mandarin; French; Cambodian; Mongolian; Polish; Russian; Ukrainian; Vietnamese; German","Hospital; Residential Short Term Treatment","","0","9705856309","HIV; Homeless; LGBTQIA+; Men; Military; Older Adults; Pregnant Person; Women; Youth; Offender; Minors/Adolescents; Clients referred from Court/Judicial System; American Indian","7/18/2022 11:07 AM","4770 Larimer Parkway_BR_ENCODED_Johnstown, CO 80534","","Outpatient; Intensive Outpatient; General Treatment; Youth Treatment; Day Treatment (Partial Hospitalization); Clinically Managed Low Intensity Residential Services; Clinically Managed Residential Detoxification; Clinically Managed Medium Intensity Residential Services; Clinically Managed High Intensity Residential Services; Medically Monitored Intensive Residential Treatment","","https://johnstownheights.com/","40.4045282","-104.9753063"
"","Wheelchair","0014M0000293QmBQAU","Recovery Village at Palmer Lake, LLC dba Denver Mental Health and Counseling","1","0","1","630 Plaza Drive, Suite 101, Highlands Ranch, Colorado 80129","0","1","0","Denver Mental Health and Counseling","","0","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","","Outpatient; Day Treatment; Community Mental Health Clinic","","0","(754) 300-3120","Men; Women","12/20/2022 1:25 PM","630 Plaza Drive, Suite 101_BR_ENCODED_Highlands Ranch, Colorado 80129","","Outpatient; Intensive Outpatient; General Treatment","","https://www.palmerlakerecovery.com/","39.5573702","-104.9952031"
"","Deaf/Hard of Hearing; Visually Impaired; Wheelchair","0016100001JgbnUAAR","Recovery Village at Palmer Lake - Highway 105","1","0","1","443 S. Highway 105, Palmer Lake, Colorado 80133","0","1","0","Recovery Village at Palmer Lake","Private Insurance; Self Pay","0","12:00AM - 11:30PM","12:00AM - 11:30PM","12:00AM - 11:30PM","","12:00AM - 11:30PM","12:00AM - 11:30PM","12:00AM - 11:30PM","English","Outpatient; Day Treatment; Community Mental Health Clinic","","0","(719) 955-1800","Men; Older Adults; Women","6/1/2022 3:29 PM","443 S. Highway 105_BR_ENCODED_Palmer Lake, Colorado 80133","","Outpatient; Intensive Outpatient; General Treatment; Day Treatment (Partial Hospitalization); Clinically Managed Residential Detoxification; Clinically Managed High Intensity Residential Services; Medically Monitored Intensive Residential Treatment; Medically Monitored Inpatient Detoxification","","www.palmerlakerecovery.com","39.1124692","-104.8972303"
"yes","Wheelchair","0014M00001m6i9DQAQ","Gallus Detox Denver LLC - Estes","0","0","1","5920 S. Estes Street, Suite 150, Littleton, Colorado 80123","0","0","1","Gallus Detox Denver LLC","Private Insurance; Self Pay","0","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","English; Spanish; Cantonese; Mandarin; French; Cambodian; Mongolian; Polish; Russian; Ukrainian; Vietnamese; German","","No Telehealth Available","0","(720) 673-8910","HIV; Homeless; LGBTQIA+; Men; Military; Older Adults; Pregnant Person; Women; Offender; Clients referred from Court/Judicial System; American Indian; Latinx","12/8/2022 10:43 AM","5920 S. Estes Street, Suite 150_BR_ENCODED_Littleton, Colorado 80123","","Outpatient; General Treatment; Medically Monitored Intensive Residential Treatment","","https://www.gallusdetox.com/","39.6079818","-105.0956799"
"","Wheelchair","0016100001etx0AAAQ","LoveJoy Counseling - Arapahoe","0","0","1","12835 East Arapahoe Tower 2, ste 130, Centennial, Colorado 80112","0","0","1","LoveJoy Counseling","","0","11:00AM - 7:30PM","11:00AM - 7:30PM","11:00AM - 7:30PM","","11:00AM - 7:30PM","11:00AM - 7:30PM","11:00AM - 7:30PM","","","","0","(720) 621-5944","Men; Older Adults; Women; Youth; Minors/Adolescents; Clients referred from Court/Judicial System; American Indian","6/29/2022 3:53 PM","12835 East Arapahoe Tower 2, ste 130_BR_ENCODED_Centennial, Colorado 80112","","Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System","","www.centennialtherapist.com","39.5962269","-104.8397616"
"","","0014M00001gkYCPQA2","A New Hope Counseling - Briargate","0","0","1","3470 Briargate Blvd, Colorado Springs, CO 80920","0","0","1","A New Hope Counseling","Medicaid; Self Pay","0","9:00AM - 5:00PM","9:00AM - 5:00PM","","","9:00AM - 4:00PM","9:00AM - 5:00PM","9:00AM - 5:00PM","English","","","0","(719) 896-5163","Offender","8/4/2022 11:12 AM","3470 Briargate Blvd_BR_ENCODED_Colorado Springs, CO 80920","","Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment; Level II Four Plus","","https://anewhopecolorado.com/","38.9420034","-104.7628598"
"","","0016100001MDp4fAAD","Rite Of Passage-Mt. Evans Qualifying House","1","0","0","8810 Mt. Evan Highway, Idaho Springs, Colorado 80452","0","0","0","Rite of Passage - Mt. Evans Qualifying House","Medicaid","0","6:00AM - 10:00PM","6:00AM - 10:00PM","6:00AM - 10:00PM","6:00AM - 10:00PM","6:00AM - 10:00PM","6:00AM - 10:00PM","6:00AM - 10:00PM","English","Residential Long Term Treatment; Residential Short Term Treatment; Residential Child Care Facility","","0","(303) 567-4968","Youth","","8810 Mt. Evan Highway_BR_ENCODED_Idaho Springs, Colorado 80452","","Outpatient; Youth Treatment; Clinically Managed High Intensity Residential Services","","riteofpassage.com","39.6142175","-105.61161"
"","Deaf/Hard of Hearing; Visually Impaired; Wheelchair","0014M00001lZ4OlQAK","Rite of Passage Morrison Home","1","0","0","5924 US Highway 285, Morrison, Colorado 80465","0","0","0","Rite of Passage - Morrison Home","Medicaid","0","","9:00AM - 5:00PM","","","","9:00AM - 5:00PM","9:00AM - 5:00PM","English","Residential Long Term Treatment; Residential Short Term Treatment; Residential Child Care Facility","","0","(303) 697-0235","Youth; Minors/Adolescents","","5924 US Highway 285_BR_ENCODED_Morrison, Colorado 80465","","","","www.morrisonhome.org","39.6086605","-105.2311141"
"","Wheelchair","0014M00001nRRGuQAO","Animal Assisted Therapy Programs of Colorado - Kipling","1","0","0","7275 Kipling St, Arvada, CO 80005","0","1","0","Animal Assisted Therapy Programs of Colorado","Medicaid; Private Insurance; Self Pay; Sliding Fee Scale","0","9:00AM - 6:00PM","9:00AM - 8:00PM","9:00AM - 6:00PM","","9:00AM - 8:00PM","9:00AM - 8:00PM","9:00AM - 8:00PM","","Outpatient; Day Treatment; Community Mental Health Clinic","","0","(720) 266-4444","LGBTQIA+; Men; Military; Older Adults; Pregnant Person; Women; Youth; Offender; Minors/Adolescents; Clients referred from Court/Judicial System; American Indian","5/20/2022 1:14 PM","7275 Kipling St_BR_ENCODED_Arvada, CO 80005","","","","https://www.animalassistedtherapyprograms.org/","39.8291147","-105.1101585"
"","Wheelchair","0014M00001pmBhxQAE","Chrysalis Continuing Care LLC - Larimer","1","0","1","3254 Larimer St, Denver, CO 80205","0","1","0","Chrysalis Continuing Care","Medicaid; Private Insurance; Self Pay; Sliding Fee Scale","0","9:00AM - 5:00PM","9:00AM - 5:00PM","","","9:00AM - 5:00PM","9:00AM - 5:00PM","9:00AM - 5:00PM","English","Outpatient; Day Treatment; Community Mental Health Clinic","","0","(303) 931-6086","","7/15/2022 11:30 AM","3254 Larimer St_BR_ENCODED_Denver, CO 80205","","Outpatient; Intensive Outpatient; General Treatment; Day Treatment (Partial Hospitalization)","","https://ccctreatment.com/","39.7645123","-104.9769227"
"yes","","0014M00001oungbQAA","Healing Pines Recovery, LLC - County Rd 124","0","0","1","5550 County Rd. 124, Elizabeth, Colorado 80107","0","0","0","Healing Pines Recovery","Private Insurance; Self Pay; Sliding Fee Scale","0","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","English","","Telehealth Available - With Restrictions","0","949-304-0040","Men; Military","12/19/2022 4:49 PM","5550 County Rd. 124_BR_ENCODED_Elizabeth, Colorado 80107","","Intensive Outpatient; General Treatment; Day Treatment (Partial Hospitalization); Clinically Managed Residential Detoxification; Clinically Managed High Intensity Residential Services","Outpatient","https://healingpinesrecovery.com/","39.299787","-104.5592178"
"yes","Wheelchair","0014M00001pymoiQAA","Colorado Therapy & Assessment Center - Bellaire","1","0","0","1777 S Bellaire St Ste 390, Denver, CO 80222","0","1","0","Colorado Therapy & Assessment Center","Medicaid; Self Pay","0","8:00AM - 8:00PM","8:00AM - 8:00PM","","","8:00AM - 8:00PM","8:00AM - 8:00PM","8:00AM - 8:00PM","English","Outpatient; Community Mental Health Clinic","Telehealth Available - No Restrictions","0","720-515-4244","LGBTQIA+; Men; Older Adults; Pregnant Person; Women; Youth; Minors/Adolescents; Latinx","12/21/2022 8:38 AM","1777 S Bellaire St Ste 390_BR_ENCODED_Denver, CO 80222","","","","https://coloradotherapyassessment.com/","39.6844152","-104.9377513"
"yes","","0014M00001pmU3EQAU","StillWater Counseling - Grand Ave.","0","0","1","929 Grand Ave., Glenwood Springs, CO 81601","0","0","1","StillWater Counseling","Sliding Fee Scale","0","9:00AM - 5:00PM","9:00AM - 5:00PM","","","9:00AM - 5:00PM","9:00AM - 5:00PM","9:00AM - 5:00PM","English","","Telehealth Available - No Restrictions","0","(970) 456-9238","","7/19/2022 8:59 AM","929 Grand Ave._BR_ENCODED_Glenwood Springs, CO 81601","","Outpatient; General Treatment; DUI/DWI; Level II Four Plus","","https://www.stillwatercounseling.net/","39.5442653","-107.3251883"
"","","0014M00001pmnImQAI","Ambiance Counseling Services - Main St","0","0","1","124 Main St, Dillon, CO 80435","0","0","1","Ambiance Counseling Services","","0","12:00PM - 5:00PM","12:00PM - 5:00PM","","","12:00PM - 9:00PM","12:00PM - 9:00PM","12:00PM - 9:00PM","English","","","0","(970) 333-4519","","5/23/2022 7:23 PM","124 Main St_BR_ENCODED_Dillon, CO 80435","","Outpatient; General Treatment; DUI/DWI","","www.AmbianceCounseling.com","39.6283098","-106.0454194"
"yes","Visually Impaired; Wheelchair","0014M00002AQIKPQA5","Northpoint Colorado, LLC - Automation Way","1","0","0","3800 Automation Way #102, Fort Collins, Colorado 80525","0","1","0","Imagine by Northpoint - Fort Collins","Medicaid; Private Insurance; Self Pay","0","8:00AM - 5:00PM","8:00AM - 7:30PM","","","8:00AM - 7:30PM","8:00AM - 5:00PM","8:00AM - 7:30PM","English","Outpatient; Day Treatment; Community Mental Health Clinic","Telehealth Available - With Restrictions","0","970-598-3606","Minors/Adolescents","5/27/2022 4:53 PM","3800 Automation Way #102_BR_ENCODED_Fort Collins, Colorado 80525","","","availability","ftcollinsimagine.com","40.5348502","-105.0406732"
"yes","Visually Impaired; Wheelchair","0014M00001qhbXEQAY","Northpoint Colorado, LLC - Kendall Parkway","0","0","0","4565 Kendall Parkway, Loveland, Colorado 80538","0","1","0","Northpoint Colorado, LLC - Loveland","Medicaid; Private Insurance; Self Pay","0","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","English","Outpatient; Day Treatment; Community Mental Health Clinic","Telehealth Available - No Restrictions","0","970-592-8125","Men; Older Adults; Women","12/2/2022 11:55 AM","4565 Kendall Parkway_BR_ENCODED_Loveland, Colorado 80538","","Intensive Outpatient; General Treatment; Day Treatment (Partial Hospitalization); Clinically Managed High Intensity Residential Services; Medically Monitored Intensive Residential Treatment; Medically Monitored Inpatient Detoxification","","northpointcolorado.com","40.4291313","-105.0107657"
"yes","Wheelchair","0014M00002FzRtRQAV","TRUE Counseling Services","0","0","1","8801 Fox Drive Suite 100, Thornton, Colorado 80260","0","0","1","TRUE Counseling Services","Self Pay; Sliding Fee Scale","0","10:00AM - 4:00PM","10:00AM - 7:00PM","","","","","10:00AM - 7:00PM","English","","Telehealth Available - With Restrictions","0","720-835-2266","Men; Older Adults; Women; Offender; Clients referred from Court/Judicial System","12/9/2022 2:57 PM","8801 Fox Drive Suite 100_BR_ENCODED_Thornton, Colorado 80260","","DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System","Have to be in Colorado, initiated by therapist,","","39.8570899","-104.9945583"
